target,year,rank,neighbour,cosine_sim
theory,2020,12,cultural,0.308
theory,2021,1,engaged,0.3987
theory,2021,2,contexts,0.3746
theory,2021,3,thinking,0.3587
theory,2021,4,representation,0.3586
theory,2021,5,history,0.3584
theory,2021,6,design,0.351
theory,2021,7,architecture,0.332
theory,2021,8,ethical,0.3258
theory,2021,9,taught,0.3239
theory,2021,10,concept,0.3235
theory,2021,11,educator,0.3211
theory,2021,12,consider,0.3178
theory,2022,1,history,0.6133
theory,2022,2,designing,0.3952
theory,2022,3,island,0.3947
theory,2022,4,initiative,0.3824
theory,2022,5,passive,0.3804
theory,2022,6,components,0.3724
theory,2022,7,profession,0.3657
theory,2022,8,virginia,0.3639
theory,2022,9,holds,0.3618
theory,2022,10,integrating,0.3604
theory,2022,11,virtual,0.3516
theory,2022,12,teaches,0.3478
theory,2023,1,required,0.3512
theory,2023,2,teaches,0.3505
theory,2023,3,los,0.3414
theory,2023,4,history,0.3394
theory,2023,5,projects,0.3274
theory,2023,6,frameworks,0.3157
theory,2023,7,narrative,0.3076
theory,2023,8,angeles,0.3071
theory,2023,9,consumption,0.3022
theory,2023,10,architectural,0.3001
theory,2023,11,practice,0.2993
theory,2023,12,design,0.2951
theory,2024,1,history,0.5337
theory,2024,2,required,0.4286
theory,2024,3,teaches,0.397
theory,2024,4,houston,0.3723
theory,2024,5,chair,0.3429
theory,2024,6,applied,0.3321
theory,2024,7,scales,0.3245
theory,2024,8,modern,0.3199
theory,2024,9,discipline,0.3199
theory,2024,10,engineering,0.3161
theory,2024,11,engaged,0.3132
theory,2024,12,virtual,0.3022
theory,2025,1,integrate,0.3907
theory,2025,2,competition,0.3902
theory,2025,3,awarded,0.3827
theory,2025,4,history,0.3525
theory,2025,5,design,0.3437
theory,2025,6,practice,0.342
theory,2025,7,taught,0.336
theory,2025,8,complex,0.3347
theory,2025,9,explores,0.3276
theory,2025,10,topic,0.3254
theory,2025,11,washington,0.3239
theory,2025,12,integrating,0.3233
theory,2026,1,architectural,0.4989
theory,2026,2,history,0.4286
theory,2026,3,practice,0.4232
theory,2026,4,book,0.4089
theory,2026,5,teaches,0.4036
theory,2026,6,design,0.3876
theory,2026,7,architecture,0.3788
theory,2026,8,integrate,0.3733
theory,2026,9,representation,0.3649
theory,2026,10,urbanism,0.3513
theory,2026,11,interest,0.3401
theory,2026,12,media,0.3348
representation,2020,1,fabrication,0.4083
representation,2020,2,architectural,0.3998
representation,2020,3,forms,0.3982
representation,2020,4,digital,0.3926
representation,2020,5,visual,0.3565
representation,2020,6,media,0.3504
representation,2020,7,traditional,0.3469
representation,2020,8,anthropocene,0.3391
representation,2020,9,integrating,0.3176
representation,2020,10,data,0.3134
representation,2020,11,models,0.3112
representation,2020,12,agency,0.309
representation,2021,1,techniques,0.4225
representation,2021,2,exploration,0.3766
representation,2021,3,san,0.3683
representation,2021,4,institutions,0.3608
representation,2021,5,digital,0.3606
representation,2021,6,theory,0.3586
representation,2021,7,design,0.3583
representation,2021,8,mapping,0.3555
representation,2021,9,lens,0.3467
representation,2021,10,political,0.3347
representation,2021,11,means,0.3345
representation,2021,12,examine,0.3331
representation,2022,1,architectural,0.4778
representation,2022,2,explores,0.3977
representation,2022,3,integrating,0.3788
representation,2022,4,mexico,0.3629
representation,2022,5,inquiry,0.3619
representation,2022,6,november,0.3438
representation,2022,7,thinking,0.3364
representation,2022,8,concepts,0.3343
representation,2022,9,infrastructural,0.3334
representation,2022,10,fabrication,0.3257
representation,2022,11,designer,0.3249
representation,2022,12,plans,0.321
representation,2023,1,digital,0.3959
representation,2023,2,indigenous,0.3237
representation,2023,3,integration,0.3221
representation,2023,4,techniques,0.3205
representation,2023,5,drawing,0.3172
representation,2023,6,radical,0.3153
representation,2023,7,tools,0.3149
representation,2023,8,collaborative,0.314
representation,2023,9,experts,0.3129
representation,2023,10,data,0.3063
representation,2023,11,frameworks,0.3052
representation,2023,12,harvard,0.3049
representation,2024,1,environmental,0.377
representation,2024,2,techniques,0.3664
representation,2024,3,designers,0.3439
representation,2024,4,required,0.3281
representation,2024,5,workshops,0.3232
representation,2024,6,miami,0.3191
representation,2024,7,technical,0.3172
representation,2024,8,oklahoma,0.3071
representation,2024,9,critically,0.3071
representation,2024,10,boston,0.3055
representation,2024,11,schools,0.2966
representation,2024,12,places,0.2956
representation,2025,1,teaches,0.4029
representation,2025,2,technical,0.3922
representation,2025,3,territory,0.3874
representation,2025,4,multi,0.3573
representation,2025,5,component,0.3554
representation,2025,6,drawing,0.3482
representation,2025,7,river,0.3472
representation,2025,8,west,0.3438
representation,2025,9,home,0.3395
representation,2025,10,techniques,0.3338
representation,2025,11,investigate,0.3334
representation,2025,12,lens,0.33
representation,2026,1,teaches,0.4167
representation,2026,2,advanced,0.4028
representation,2026,3,technologies,0.3914
representation,2026,4,principles,0.3716
representation,2026,5,theory,0.3649
representation,2026,6,harvard,0.3603
representation,2026,7,architectural,0.3594
representation,2026,8,digital,0.353
representation,2026,9,disciplines,0.3518
representation,2026,10,perspective,0.3475
representation,2026,11,vision,0.3403
representation,2026,12,mapping,0.3273
human,2020,1,species,0.4078
human,2020,2,anthropocene,0.3649
human,2020,3,migration,0.3621
human,2020,4,contexts,0.3563
human,2020,5,virtual,0.3556
human,2020,6,comfort,0.3512
human,2020,7,ability,0.3303
human,2020,8,technological,0.3278
human,2020,9,sciences,0.3215
human,2020,10,nature,0.3203
human,2020,11,consumption,0.3191
human,2020,12,face,0.317
human,2021,1,environmental,0.3724
human,2021,2,climate,0.3715
human,2021,3,built,0.3689
human,2021,4,environments,0.3672
human,2021,5,design,0.3579
human,2021,6,social,0.3382
human,2021,7,response,0.3225
human,2021,8,nature,0.319
human,2021,9,experiences,0.3151
human,2021,10,next,0.3118
human,2021,11,weather,0.3108
human,2021,12,integrate,0.3107
human,2022,1,anthropocene,0.4715
human,2022,2,inquiry,0.4449
human,2022,3,decisions,0.377
human,2022,4,planet,0.3756
human,2022,5,comfort,0.3602
human,2022,6,environment,0.3405
human,2022,7,health,0.3356
human,2022,8,species,0.3176
human,2022,9,begin,0.316
human,2022,10,living,0.3124
human,2022,11,communities,0.3093
human,2022,12,vulnerable,0.3088
human,2023,1,adaptation,0.3323
human,2023,2,park,0.3313
human,2023,3,scientific,0.3284
human,2023,4,extraction,0.3279
human,2023,5,resource,0.3275
human,2023,6,inquiry,0.3247
human,2023,7,policies,0.3233
human,2023,8,interior,0.3177
human,2023,9,natural,0.3065
human,2023,10,session,0.3044
human,2023,11,indigenous,0.3036
human,2023,12,anthropocene,0.3027
human,2024,1,health,0.3532
human,2024,2,species,0.3432
human,2024,3,vulnerable,0.3393
human,2024,4,planet,0.3387
human,2024,5,anthropocene,0.3269
human,2024,6,scenarios,0.3117
human,2024,7,complex,0.3061
human,2024,8,integration,0.2998
human,2024,9,space,0.2959
human,2024,10,population,0.2959
human,2024,11,designing,0.2958
human,2024,12,impacts,0.2936
human,2025,1,anthropocene,0.3325
human,2025,2,session,0.3321
human,2025,3,vulnerable,0.3241
human,2025,4,important,0.3075
human,2025,5,contexts,0.3059
human,2025,6,ecologies,0.3035
human,2025,7,indigenous,0.3034
human,2025,8,tool,0.2949
human,2025,9,necessary,0.2862
human,2025,10,infrastructural,0.2843
human,2025,11,activities,0.2816
human,2025,12,earth,0.2791
human,2026,1,equity,0.4092
human,2026,2,health,0.3886
human,2026,3,houston,0.371
human,2026,4,migration,0.3521
human,2026,5,experience,0.3415
human,2026,6,groups,0.33
human,2026,7,comfort,0.3294
human,2026,8,responsive,0.3249
human,2026,9,species,0.319
human,2026,10,environmental,0.3186
human,2026,11,begin,0.3173
human,2026,12,better,0.3076
ethics,2020,1,ethical,0.4124
ethics,2020,2,analyze,0.3418
ethics,2020,3,integrate,0.3398
ethics,2020,4,futures,0.3342
ethics,2020,5,performance,0.327
ethics,2020,6,material,0.3206
ethics,2020,7,service,0.3161
ethics,2020,8,traditional,0.3155
ethics,2020,9,equity,0.3151
ethics,2020,10,engaged,0.3143
ethics,2020,11,human,0.3094
ethics,2020,12,present,0.3081
ethics,2021,1,waste,0.3857
ethics,2021,2,environmental,0.3732
ethics,2021,3,excellence,0.3512
ethics,2021,4,risk,0.3389
ethics,2021,5,engaging,0.3337
ethics,2021,6,design,0.3324
ethics,2021,7,practice,0.3199
ethics,2021,8,profession,0.3177
ethics,2021,9,architecture,0.3159
ethics,2021,10,begin,0.3122
ethics,2021,11,lens,0.3083
ethics,2021,12,general,0.3079
ethics,2022,1,integrating,0.5452
ethics,2022,2,virtual,0.542
ethics,2022,3,designs,0.5017
ethics,2022,4,creative,0.4544
ethics,2022,5,thinking,0.4457
ethics,2022,6,maps,0.4435
ethics,2022,7,tool,0.4421
ethics,2022,8,mapping,0.4418
ethics,2022,9,application,0.4376
ethics,2022,10,particular,0.4329
ethics,2022,11,goals,0.4312
ethics,2022,12,ability,0.4295
ethics,2023,1,november,0.429
ethics,2023,2,engaging,0.3848
ethics,2023,3,ethical,0.3738
ethics,2023,4,equity,0.3681
ethics,2023,5,reuse,0.3555
ethics,2023,6,awarded,0.3266
ethics,2023,7,partner,0.3225
ethics,2023,8,radical,0.3211
ethics,2023,9,topic,0.3181
ethics,2023,10,schools,0.3181
ethics,2023,11,labor,0.3176
ethics,2023,12,oil,0.315
ethics,2024,1,frameworks,0.4218
ethics,2024,2,relevant,0.404
ethics,2024,3,migration,0.4021
ethics,2024,4,served,0.3785
ethics,2024,5,visiting,0.3649
ethics,2024,6,october,0.3608
ethics,2024,7,miami,0.3575
ethics,2024,8,scenarios,0.354
ethics,2024,9,online,0.3455
ethics,2024,10,fellow,0.3402
ethics,2024,11,vision,0.3367
ethics,2024,12,framework,0.3325
ethics,2025,1,management,0.4025
ethics,2025,2,served,0.3753
ethics,2025,3,questions,0.3704
ethics,2025,4,face,0.3691
ethics,2025,5,architectural,0.3576
ethics,2025,6,offer,0.345
ethics,2025,7,individual,0.3445
ethics,2025,8,societal,0.3368
ethics,2025,9,members,0.3315
ethics,2025,10,fellow,0.3302
ethics,2025,11,hoyne,0.3234
ethics,2025,12,october,0.3222
ethics,2026,1,served,0.3487
ethics,2026,2,speculative,0.3462
ethics,2026,3,equity,0.3462
ethics,2026,4,october,0.344
ethics,2026,5,thinking,0.3392
ethics,2026,6,labor,0.3349
ethics,2026,7,environmental,0.3269
ethics,2026,8,knowledge,0.3255
ethics,2026,9,ethical,0.3254
ethics,2026,10,ecology,0.3246
ethics,2026,11,adaptation,0.323
ethics,2026,12,theory,0.3215
technology,2020,1,illinois,0.4374
technology,2020,2,building,0.3317
technology,2020,3,environmental,0.3315
technology,2020,4,simulation,0.3203
technology,2020,5,architecture,0.3172
technology,2020,6,science,0.3168
technology,2020,7,florida,0.3085
technology,2020,8,visiting,0.3076
technology,2020,9,technologies,0.3039
technology,2020,10,design,0.303
