target,year,rank,neighbour,cosine_sim
material,2020,10,physical,0.351
material,2020,11,embodied,0.3501
material,2020,12,materials,0.3472
material,2021,1,integrating,0.385
material,2021,2,reuse,0.3535
material,2021,3,performance,0.3432
material,2021,4,examine,0.3357
material,2021,5,representation,0.3328
material,2021,6,techniques,0.3319
material,2021,7,construction,0.312
material,2021,8,selection,0.3067
material,2021,9,technologies,0.3049
material,2021,10,agency,0.2993
material,2021,11,histories,0.2981
material,2021,12,making,0.2979
material,2022,1,extraction,0.426
material,2022,2,design,0.359
material,2022,3,materials,0.3569
material,2022,4,anthropocene,0.3504
material,2022,5,building,0.3458
material,2022,6,texas,0.3434
material,2022,7,cycle,0.3135
material,2022,8,representation,0.3126
material,2022,9,climatic,0.3048
material,2022,10,contribute,0.3013
material,2022,11,environmental,0.2972
material,2022,12,explores,0.2937
material,2023,1,culture,0.4741
material,2023,2,labor,0.4659
material,2023,3,ecology,0.4435
material,2023,4,performance,0.3834
material,2023,5,materials,0.3652
material,2023,6,lens,0.3608
material,2023,7,fabrication,0.3584
material,2023,8,land,0.3484
material,2023,9,waste,0.3465
material,2023,10,impacts,0.3452
material,2023,11,reuse,0.3209
material,2023,12,digital,0.3207
material,2024,1,construction,0.5597
material,2024,2,labor,0.4207
material,2024,3,fabrication,0.4021
material,2024,4,concept,0.3952
material,2024,5,performance,0.3833
material,2024,6,impacts,0.3634
material,2024,7,waste,0.3381
material,2024,8,virginia,0.329
material,2024,9,embodied,0.3201
material,2024,10,large,0.3183
material,2024,11,timber,0.3139
material,2024,12,application,0.3131
material,2025,1,waste,0.3799
material,2025,2,testing,0.3709
material,2025,3,library,0.3524
material,2025,4,alternative,0.3354
material,2025,5,thermal,0.314
material,2025,6,fabrication,0.3137
material,2025,7,materials,0.3022
material,2025,8,ground,0.2938
material,2025,9,cycle,0.2915
material,2025,10,engaged,0.2907
material,2025,11,speculative,0.2883
material,2025,12,colonial,0.2819
material,2026,1,waste,0.4751
material,2026,2,environmental,0.4614
material,2026,3,labor,0.4491
material,2026,4,ecologies,0.4374
material,2026,5,fabrication,0.415
material,2026,6,construction,0.4138
material,2026,7,architectural,0.4053
material,2026,8,reuse,0.3986
material,2026,9,agency,0.3874
material,2026,10,extraction,0.3749
material,2026,11,systems,0.3698
material,2026,12,exploring,0.3663
sustainable,2020,1,thinking,0.4057
sustainable,2020,2,perspective,0.3928
sustainable,2020,3,design,0.3824
sustainable,2020,4,goals,0.3732
sustainable,2020,5,green,0.3728
sustainable,2020,6,practices,0.3657
sustainable,2020,7,works,0.3645
sustainable,2020,8,technical,0.3549
sustainable,2020,9,leed,0.3522
sustainable,2020,10,frameworks,0.3494
sustainable,2020,11,principles,0.347
sustainable,2020,12,framework,0.3461
sustainable,2021,1,design,0.6242
sustainable,2021,2,architecture,0.4655
sustainable,2021,3,regenerative,0.4554
sustainable,2021,4,resilient,0.4431
sustainable,2021,5,passive,0.4345
sustainable,2021,6,leed,0.4327
sustainable,2021,7,green,0.4121
sustainable,2021,8,urban,0.4053
sustainable,2021,9,principles,0.3915
sustainable,2021,10,built,0.3897
sustainable,2021,11,responsive,0.3683
sustainable,2021,12,buildings,0.3637
sustainable,2022,1,solutions,0.4407
sustainable,2022,2,ethics,0.4029
sustainable,2022,3,modern,0.3849
sustainable,2022,4,bio,0.3613
sustainable,2022,5,construction,0.3534
sustainable,2022,6,partners,0.3525
sustainable,2022,7,goals,0.3476
sustainable,2022,8,provides,0.3379
sustainable,2022,9,feedback,0.3346
sustainable,2022,10,best,0.3346
sustainable,2022,11,advance,0.3295
sustainable,2022,12,equitable,0.3283
sustainable,2023,1,design,0.3929
sustainable,2023,2,responsive,0.3655
sustainable,2023,3,construction,0.3502
sustainable,2023,4,techniques,0.3245
sustainable,2023,5,principles,0.3176
sustainable,2023,6,societal,0.3087
sustainable,2023,7,leed,0.3072
sustainable,2023,8,engage,0.3065
sustainable,2023,9,discipline,0.3038
sustainable,2023,10,regenerative,0.2977
sustainable,2023,11,building,0.2885
sustainable,2023,12,response,0.2863
sustainable,2024,1,equitable,0.4378
sustainable,2024,2,design,0.3994
sustainable,2024,3,timber,0.3705
sustainable,2024,4,territory,0.3531
sustainable,2024,5,resilient,0.3466
sustainable,2024,6,principles,0.3449
sustainable,2024,7,necessary,0.343
sustainable,2024,8,solutions,0.3322
sustainable,2024,9,activities,0.3299
sustainable,2024,10,scenarios,0.3234
sustainable,2024,11,excellence,0.322
sustainable,2024,12,futures,0.3195
sustainable,2025,1,component,0.4815
sustainable,2025,2,environmental,0.408
sustainable,2025,3,principles,0.3975
sustainable,2025,4,goals,0.3922
sustainable,2025,5,industry,0.3813
sustainable,2025,6,challenges,0.3735
sustainable,2025,7,project,0.3544
sustainable,2025,8,design,0.3543
sustainable,2025,9,solar,0.3487
sustainable,2025,10,body,0.3469
sustainable,2025,11,lead,0.3348
sustainable,2025,12,initiative,0.3346
sustainable,2026,1,creating,0.4308
sustainable,2026,2,practices,0.4024
sustainable,2026,3,goals,0.4016
sustainable,2026,4,leed,0.3995
sustainable,2026,5,design,0.3956
sustainable,2026,6,architecture,0.3862
sustainable,2026,7,sustainability,0.3647
sustainable,2026,8,science,0.3616
sustainable,2026,9,efforts,0.3502
sustainable,2026,10,equitable,0.3488
sustainable,2026,11,required,0.3436
sustainable,2026,12,principal,0.3372
future,2020,1,emerging,0.3783
future,2020,2,area,0.3772
future,2020,3,help,0.3636
future,2020,4,presentation,0.3431
future,2020,5,present,0.3334
future,2020,6,model,0.3287
future,2020,7,better,0.3286
future,2020,8,next,0.3208
future,2020,9,selection,0.3199
future,2020,10,framework,0.3176
future,2020,11,culture,0.3146
future,2020,12,experience,0.3141
future,2021,1,vision,0.4576
future,2021,2,past,0.4321
future,2021,3,places,0.4059
future,2021,4,think,0.3814
future,2021,5,urbanism,0.3653
future,2021,6,speculative,0.3635
future,2021,7,present,0.3544
future,2021,8,ecological,0.3366
future,2021,9,people,0.3359
future,2021,10,selection,0.3346
future,2021,11,planning,0.3342
future,2021,12,better,0.3294
future,2022,1,better,0.3467
future,2022,2,narrative,0.3236
future,2022,3,aims,0.3141
future,2022,4,past,0.3099
future,2022,5,responsibility,0.3085
future,2022,6,designing,0.3071
future,2022,7,larger,0.3062
future,2022,8,planet,0.2958
future,2022,9,architects,0.2956
future,2022,10,vision,0.2941
future,2022,11,structural,0.2925
future,2022,12,impact,0.2877
future,2023,1,vision,0.3559
future,2023,2,regenerative,0.3312
future,2023,3,equitable,0.3128
future,2023,4,discipline,0.311
future,2023,5,world,0.3031
future,2023,6,oil,0.3016
future,2023,7,able,0.2991
future,2023,8,test,0.2875
future,2023,9,interior,0.2825
future,2023,10,creating,0.2802
future,2023,11,sustainable,0.276
future,2023,12,knowledge,0.2735
future,2024,1,offer,0.396
future,2024,2,think,0.3865
future,2024,3,inform,0.3366
future,2024,4,communities,0.3265
future,2024,5,societal,0.3235
future,2024,6,creating,0.3226
future,2024,7,prof,0.3132
future,2024,8,management,0.3093
future,2024,9,planet,0.2953
future,2024,10,ability,0.2949
future,2024,11,exhibition,0.2929
future,2024,12,decisions,0.2919
future,2025,1,materials,0.3758
future,2025,2,objectives,0.3571
future,2025,3,scenarios,0.3385
future,2025,4,question,0.3382
future,2025,5,able,0.3121
future,2025,6,critically,0.3083
future,2025,7,ecological,0.2889
future,2025,8,anthropocene,0.2846
future,2025,9,help,0.2846
future,2025,10,great,0.2828
future,2025,11,integrating,0.271
future,2025,12,zero,0.2703
future,2026,1,scenarios,0.4047
future,2026,2,ideas,0.3085
future,2026,3,broader,0.3068
future,2026,4,objectives,0.2969
future,2026,5,weather,0.2959
future,2026,6,potential,0.2944
future,2026,7,discipline,0.2944
future,2026,8,feedback,0.2929
future,2026,9,technological,0.2913
future,2026,10,economic,0.2876
future,2026,11,able,0.2852
future,2026,12,profession,0.285
global,2020,1,institutional,0.3695
global,2020,2,migration,0.3688
global,2020,3,next,0.3687
global,2020,4,lens,0.368
global,2020,5,industrial,0.3571
global,2020,6,reuse,0.3432
global,2020,7,environment,0.3411
global,2020,8,urbanism,0.3332
global,2020,9,cultural,0.3256
global,2020,10,crisis,0.3238
global,2020,11,thinking,0.3173
global,2020,12,issues,0.3153
global,2021,1,challenges,0.4029
global,2021,2,necessary,0.3738
global,2021,3,emissions,0.3507
global,2021,4,activities,0.3424
global,2021,5,anthropocene,0.3416
global,2021,6,consider,0.3339
global,2021,7,travel,0.3188
global,2021,8,buildings,0.3136
global,2021,9,extraction,0.3124
global,2021,10,equitable,0.3068
global,2021,11,regional,0.3037
global,2021,12,gulf,0.3027
global,2022,1,emissions,0.4011
global,2022,2,broader,0.3941
global,2022,3,anthropocene,0.3867
global,2022,4,introduction,0.385
global,2022,5,crisis,0.375
global,2022,6,focused,0.3682
global,2022,7,climate,0.3608
global,2022,8,concerns,0.3604
global,2022,9,migration,0.3587
global,2022,10,regional,0.3587
global,2022,11,prof,0.3538
global,2022,12,change,0.3536
global,2023,1,crisis,0.3808
global,2023,2,societal,0.361
global,2023,3,initiative,0.3409
global,2023,4,inquiry,0.3209
global,2023,5,south,0.3069
global,2023,6,forms,0.2987
global,2023,7,challenges,0.2977
global,2023,8,futures,0.2946
global,2023,9,addressing,0.286
global,2023,10,ethical,0.2829
global,2023,11,scale,0.2811
global,2023,12,emissions,0.276
global,2024,1,south,0.4705
global,2024,2,resource,0.4098
global,2024,3,north,0.3363
global,2024,4,infrastructural,0.322
global,2024,5,introduction,0.3141
global,2024,6,examine,0.3035
global,2024,7,national,0.301
global,2024,8,sustainable,0.2983
global,2024,9,whose,0.2983
global,2024,10,drawing,0.2961
global,2024,11,architecture,0.2937
global,2024,12,planet,0.2886
global,2025,1,challenges,0.4067
global,2025,2,engagement,0.3581
global,2025,3,infrastructure,0.3427
global,2025,4,shared,0.3294
global,2025,5,component,0.3107
global,2025,6,contexts,0.3101
global,2025,7,sustainability,0.3099
global,2025,8,investigate,0.3095
global,2025,9,site,0.3088
global,2025,10,offer,0.3007
global,2025,11,strong,0.2925
global,2025,12,excellence,0.2868
global,2026,1,particularly,0.3206
global,2026,2,vernacular,0.3198
global,2026,3,contexts,0.3047
global,2026,4,south,0.3043
global,2026,5,problem,0.3033
global,2026,6,ethical,0.3008
global,2026,7,regional,0.2986
global,2026,8,international,0.2897
global,2026,9,contemporary,0.2806
global,2026,10,gulf,0.2802
global,2026,11,climate,0.2801
global,2026,12,perspective,0.2764
infrastructure,2020,1,infrastructural,0.4576
infrastructure,2020,2,systems,0.4562
infrastructure,2020,3,scenarios,0.3607
infrastructure,2020,4,solutions,0.3442
infrastructure,2020,5,system,0.3407
infrastructure,2020,6,energy,0.3378
infrastructure,2020,7,patterns,0.3369
infrastructure,2020,8,timber,0.3363
infrastructure,2020,9,power,0.3305
infrastructure,2020,10,creating,0.3302
infrastructure,2020,11,online,0.3264
infrastructure,2020,12,city,0.3208
infrastructure,2021,1,hoyne,0.3769
infrastructure,2021,2,park,0.3758
infrastructure,2021,3,power,0.3509
infrastructure,2021,4,america,0.3489
infrastructure,2021,5,chair,0.3473
infrastructure,2021,6,temple,0.3305
infrastructure,2021,7,exploring,0.3274
infrastructure,2021,8,impacts,0.3271
infrastructure,2021,9,city,0.3243
infrastructure,2021,10,york,0.3227
infrastructure,2021,11,political,0.3207
infrastructure,2021,12,water,0.3183
infrastructure,2022,1,urban,0.4005
infrastructure,2022,2,intersection,0.3362
infrastructure,2022,3,mass,0.3304
infrastructure,2022,4,america,0.3229
infrastructure,2022,5,adaptive,0.3215
infrastructure,2022,6,virginia,0.3198
infrastructure,2022,7,fabrication,0.3131
infrastructure,2022,8,policies,0.3079
infrastructure,2022,9,comprehensive,0.3076
infrastructure,2022,10,disciplines,0.3071
infrastructure,2022,11,play,0.3065
infrastructure,2022,12,investigate,0.3065
infrastructure,2023,1,power,0.3565
infrastructure,2023,2,infrastructural,0.3519
infrastructure,2023,3,policy,0.344
infrastructure,2023,4,networks,0.3241
infrastructure,2023,5,planning,0.3185
infrastructure,2023,6,online,0.3162
infrastructure,2023,7,selection,0.3091
infrastructure,2023,8,experts,0.3087
infrastructure,2023,9,green,0.3074
infrastructure,2023,10,central,0.3071
infrastructure,2023,11,integrating,0.3063
infrastructure,2023,12,disciplinary,0.3053
infrastructure,2024,1,island,0.3738
infrastructure,2024,2,examine,0.3546
infrastructure,2024,3,policy,0.3501
infrastructure,2024,4,prof,0.325
infrastructure,2024,5,waste,0.3172
infrastructure,2024,6,recently,0.305
infrastructure,2024,7,patterns,0.3042
infrastructure,2024,8,networks,0.3039
infrastructure,2024,9,applied,0.2947
infrastructure,2024,10,technical,0.2931
infrastructure,2024,11,issues,0.2907
infrastructure,2024,12,addressing,0.2889
infrastructure,2025,1,green,0.4255
infrastructure,2025,2,networks,0.3767
infrastructure,2025,3,larger,0.3663
infrastructure,2025,4,global,0.3427
infrastructure,2025,5,urban,0.3417
infrastructure,2025,6,integration,0.3415
infrastructure,2025,7,patterns,0.3377
infrastructure,2025,8,city,0.323
infrastructure,2025,9,intersection,0.3175
infrastructure,2025,10,public,0.3133
infrastructure,2025,11,explore,0.3049
infrastructure,2025,12,angeles,0.3025
infrastructure,2026,1,ecology,0.3668
infrastructure,2026,2,region,0.3609
infrastructure,2026,3,patterns,0.35
infrastructure,2026,4,water,0.3453
infrastructure,2026,5,urban,0.3335
infrastructure,2026,6,neighborhood,0.3261
infrastructure,2026,7,systems,0.3217
infrastructure,2026,8,growth,0.3187
infrastructure,2026,9,order,0.3145
infrastructure,2026,10,adaptation,0.3119
infrastructure,2026,11,public,0.311
infrastructure,2026,12,extraction,0.3095
society,2020,1,architecture,0.5251
society,2020,2,change,0.4384
society,2020,3,climate,0.3847
society,2020,4,november,0.3837
society,2020,5,responsibility,0.355
society,2020,6,write,0.3471
society,2020,7,architectural,0.346
society,2020,8,discourse,0.339
society,2020,9,allow,0.337
society,2020,10,urbanism,0.3268
