target,year,rank,neighbour,cosine_sim
system,2022,5,provides,0.3094
system,2022,6,fossil,0.3082
system,2022,7,passive,0.308
system,2022,8,tool,0.3031
system,2022,9,simulation,0.3015
system,2022,10,due,0.2931
system,2022,11,scientific,0.2896
system,2022,12,large,0.2851
system,2023,1,great,0.3678
system,2023,2,california,0.3576
system,2023,3,passive,0.3395
system,2023,4,emissions,0.3241
system,2023,5,model,0.3192
system,2023,6,allow,0.3165
system,2023,7,natural,0.3098
system,2023,8,due,0.3091
system,2023,9,wide,0.3069
system,2023,10,technical,0.3067
system,2023,11,campus,0.3058
system,2023,12,lens,0.3051
system,2024,1,complex,0.3496
system,2024,2,embodied,0.3359
system,2024,3,systems,0.3354
system,2024,4,passive,0.3345
system,2024,5,food,0.3222
system,2024,6,structural,0.3167
system,2024,7,illinois,0.3128
system,2024,8,principles,0.303
system,2024,9,components,0.3013
system,2024,10,planet,0.3006
system,2024,11,contribute,0.2987
system,2024,12,play,0.2881
system,2025,1,begin,0.396
system,2025,2,socio,0.3859
system,2025,3,material,0.3588
system,2025,4,earth,0.3494
system,2025,5,territory,0.3467
system,2025,6,section,0.3394
system,2025,7,response,0.3391
system,2025,8,technological,0.3328
system,2025,9,traditional,0.3253
system,2025,10,approach,0.3153
system,2025,11,boston,0.3124
system,2025,12,teams,0.3058
system,2026,1,structural,0.4034
system,2026,2,mitigation,0.3509
system,2026,3,needs,0.3246
system,2026,4,scenarios,0.3163
system,2026,5,systems,0.3163
system,2026,6,material,0.3155
system,2026,7,technical,0.311
system,2026,8,access,0.3078
system,2026,9,construction,0.3077
system,2026,10,alternative,0.3068
system,2026,11,drawing,0.3064
system,2026,12,thermal,0.3055
space,2020,1,session,0.3298
space,2020,2,spaces,0.3228
space,2020,3,provides,0.3166
space,2020,4,anthropocene,0.3115
space,2020,5,public,0.3079
space,2020,6,investigate,0.3063
space,2020,7,aims,0.2898
space,2020,8,experiences,0.2873
space,2020,9,comfort,0.2847
space,2020,10,flooding,0.2826
space,2020,11,visual,0.2746
space,2020,12,park,0.2738
space,2021,1,service,0.3488
space,2021,2,crisis,0.3235
space,2021,3,networks,0.3162
space,2021,4,places,0.3073
space,2021,5,means,0.2983
space,2021,6,angeles,0.2974
space,2021,7,infrastructure,0.2967
space,2021,8,los,0.2956
space,2021,9,reuse,0.2885
space,2021,10,institutional,0.2848
space,2021,11,theory,0.2841
space,2021,12,ecology,0.2811
space,2022,1,body,0.3218
space,2022,2,lens,0.3206
space,2022,3,house,0.3158
space,2022,4,campus,0.3138
space,2022,5,historical,0.3131
space,2022,6,possible,0.3109
space,2022,7,works,0.3093
space,2022,8,cycle,0.3064
space,2022,9,exhibition,0.294
space,2022,10,fabrication,0.2938
space,2022,11,harvard,0.2902
space,2022,12,scholarship,0.2877
space,2023,1,map,0.3495
space,2023,2,testing,0.3338
space,2023,3,spaces,0.3237
space,2023,4,radical,0.3135
space,2023,5,speculative,0.2887
space,2023,6,responsive,0.2875
space,2023,7,goals,0.2837
space,2023,8,interior,0.2814
space,2023,9,structure,0.2802
space,2023,10,explores,0.2791
space,2023,11,power,0.2776
space,2023,12,living,0.2729
space,2024,1,anthropocene,0.4776
space,2024,2,public,0.4356
space,2024,3,concept,0.3629
space,2024,4,humanities,0.3567
space,2024,5,harvard,0.3287
space,2024,6,houston,0.3129
space,2024,7,speculative,0.3055
space,2024,8,ecological,0.2978
space,2024,9,material,0.2916
space,2024,10,scholarship,0.2867
space,2024,11,session,0.2861
space,2024,12,form,0.2847
space,2025,1,fossil,0.4629
space,2025,2,infrastructural,0.4504
space,2025,3,concept,0.3469
space,2025,4,consumption,0.3378
space,2025,5,library,0.3297
space,2025,6,concerns,0.327
space,2025,7,creating,0.321
space,2025,8,scales,0.3168
space,2025,9,session,0.3152
space,2025,10,individual,0.3067
space,2025,11,prior,0.3021
space,2025,12,culture,0.2997
space,2026,1,public,0.485
space,2026,2,explores,0.355
space,2026,3,topic,0.3405
space,2026,4,contribute,0.3315
space,2026,5,projects,0.3212
space,2026,6,hoyne,0.3211
space,2026,7,exhibition,0.3168
space,2026,8,air,0.3138
space,2026,9,patterns,0.31
space,2026,10,problem,0.3097
space,2026,11,set,0.3004
space,2026,12,questions,0.2959
