word,year,count_year,count_other,tokens_year,tokens_other,freq_year_per1k,freq_other_per1k,G2,direction,p_label,significant
scale,2021,69,473,67645,316596,1.02,1.494,9.635,-,p < 0.01,True
science,2021,103,420,67645,316596,1.5227,1.3266,1.528,+,not significant,False
site,2021,122,751,67645,316596,1.8035,2.3721,8.413,-,p < 0.01,True
social,2021,257,1046,67645,316596,3.7992,3.3039,3.913,+,p < 0.05,True
society,2021,105,597,67645,316596,1.5522,1.8857,3.538,-,not significant,False
space,2021,69,469,67645,316596,1.02,1.4814,9.179,-,p < 0.01,True
spatial,2021,52,428,67645,316596,0.7687,1.3519,17.111,-,p < 0.0001,True
state,2021,110,489,67645,316596,1.6261,1.5446,0.235,+,not significant,False
strategies,2021,108,550,67645,316596,1.5966,1.7372,0.656,-,not significant,False
study,2021,77,529,67645,316596,1.1383,1.6709,10.885,-,p < 0.001,True
sustainability,2021,150,607,67645,316596,2.2175,1.9173,2.471,+,not significant,False
sustainable,2021,229,703,67645,316596,3.3853,2.2205,28.495,+,p < 0.0001,True
systems,2021,181,1022,67645,316596,2.6757,3.2281,5.656,-,p < 0.05,True
technology,2021,119,456,67645,316596,1.7592,1.4403,3.627,+,not significant,False
texas,2021,41,376,67645,316596,0.6061,1.1876,20.024,-,p < 0.0001,True
time,2021,127,439,67645,316596,1.8774,1.3866,8.542,+,p < 0.01,True
understanding,2021,88,437,67645,316596,1.3009,1.3803,0.26,-,not significant,False
urban,2021,306,1638,67645,316596,4.5236,5.1738,4.794,-,p < 0.05,True
water,2021,84,522,67645,316596,1.2418,1.6488,6.223,-,p < 0.05,True
work,2021,294,1448,67645,316596,4.3462,4.5737,0.643,-,not significant,False
world,2021,96,576,67645,316596,1.4192,1.8194,5.384,-,p < 0.05,True
year,2021,74,429,67645,316596,1.0939,1.355,3.04,-,not significant,False
years,2021,65,380,67645,316596,0.9609,1.2003,2.893,-,not significant,False
address,2022,53,361,38522,345719,1.3758,1.0442,3.283,+,not significant,False
american,2022,61,535,38522,345719,1.5835,1.5475,0.029,+,not significant,False
analysis,2022,44,570,38522,345719,1.1422,1.6487,6.118,-,p < 0.05,True
approach,2022,42,413,38522,345719,1.0903,1.1946,0.326,-,not significant,False
architect,2022,71,445,38522,345719,1.8431,1.2872,7.233,+,p < 0.01,True
architects,2022,66,590,38522,345719,1.7133,1.7066,0.001,+,not significant,False
architectural,2022,162,1754,38522,345719,4.2054,5.0735,5.502,-,p < 0.05,True
architecture,2022,657,5794,38522,345719,17.0552,16.7593,0.18,+,not significant,False
art,2022,38,373,38522,345719,0.9864,1.0789,0.284,-,not significant,False
assistant,2022,52,494,38522,345719,1.3499,1.4289,0.155,-,not significant,False
associate,2022,52,455,38522,345719,1.3499,1.3161,0.03,+,not significant,False
building,2022,170,1636,38522,345719,4.4131,4.7322,0.765,-,not significant,False
buildings,2022,70,506,38522,345719,1.8171,1.4636,2.725,+,not significant,False
built,2022,89,746,38522,345719,2.3104,2.1578,0.364,+,not significant,False
carbon,2022,62,607,38522,345719,1.6095,1.7558,0.436,-,not significant,False
center,2022,81,784,38522,345719,2.1027,2.2677,0.428,-,not significant,False
challenges,2022,38,508,38522,345719,0.9864,1.4694,6.303,-,p < 0.05,True
change,2022,183,2023,38522,345719,4.7505,5.8516,7.729,-,p < 0.01,True
cities,2022,58,531,38522,345719,1.5056,1.5359,0.021,-,not significant,False
city,2022,159,900,38522,345719,4.1275,2.6033,25.753,+,p < 0.0001,True
climate,2022,285,3566,38522,345719,7.3984,10.3147,32.055,-,p < 0.0001,True
communities,2022,66,534,38522,345719,1.7133,1.5446,0.614,+,not significant,False
community,2022,116,1200,38522,345719,3.0113,3.471,2.221,-,not significant,False
conditions,2022,36,406,38522,345719,0.9345,1.1744,1.84,-,not significant,False
construction,2022,84,632,38522,345719,2.1806,1.8281,2.204,+,not significant,False
context,2022,51,437,38522,345719,1.3239,1.264,0.097,+,not significant,False
critical,2022,63,592,38522,345719,1.6354,1.7124,0.122,-,not significant,False
cultural,2022,50,642,38522,345719,1.298,1.857,6.597,-,p < 0.05,True
current,2022,35,363,38522,345719,0.9086,1.05,0.695,-,not significant,False
data,2022,50,406,38522,345719,1.298,1.1744,0.434,+,not significant,False
design,2022,528,6287,38522,345719,13.7065,18.1853,42.192,-,p < 0.0001,True
develop,2022,61,618,38522,345719,1.5835,1.7876,0.843,-,not significant,False
